sample-id	location	zone	month	day	year	date	round
Paul030-S2-aer-4-9-2019_S131	S2	aer	4	9	2019	4/9/2019	1
Paul021-S-aer-3-26-2019_S122	S	aer	3	26	2019	3/26/2019	1
Paul017-S-ana-3-19-2019_S118	S	ana	3	19	2019	3/19/2019	1
Paul012-S-aer-3-12-2019_S113	S	aer	3	12	2019	3/12/2019	1
Paul015-S2-ana-3-12-2019_S116	S2	ana	3	12	2019	3/12/2019	1
Paul027-S2-aer-4-2-2019_S128	S2	aer	4	2	2019	4/2/2019	1
Paul020-S-ana-3-26-2019_S121	S	ana	3	26	2019	3/26/2019	1
Paul029-S-ana-4-9-2019_S130	S	ana	4	9	2019	4/9/2019	1
Paul013-S-ana-3-12-2019_S114	S	ana	3	12	2019	3/12/2019	1
Paul016-S-aer-3-19-2019_S117	S	aer	3	19	2019	3/19/2019	1
Paul025-S-aer-4-2-2019_S126	S	aer	4	2	2019	4/2/2019	1
Paul010-S-ana-2-20-2019_S111	S	ana	2	20	2019	2/20/2019	1
Paul019-S2-ana-3-19-2019_S120	S2	ana	3	19	2019	3/19/2019	1
Paul026-S2-ana-4-2-2019_S127	S2	ana	4	2	2019	4/2/2019	1
Paul028-S-aer-4-9-2019_S129	S	aer	4	9	2019	4/9/2019	1
Paul014-S2-aer-3-12-2019_S115	S2	aer	3	12	2019	3/12/2019	1
Paul022-S2-ana-3-26-2019_S123	S2	ana	3	26	2019	3/26/2019	1
Paul024-S-ana-4-2-2019_S125	S	ana	4	2	2019	4/2/2019	1
Paul023-S2-aer-3-26-2019_S124	S2	aer	3	26	2019	3/26/2019	1
Paul031-S2-ana-4-9-2019_S132	S2	ana	4	9	2019	4/9/2019	1
Paul011-S2-ana-2-20-2019_S112	S2	ana	2	20	2019	2/20/2019	1
Paul018-S2-aer-3-19-2019_S119	S2	aer	3	19	2019	3/19/2019	1
Wells001-1_S1	S2	unknown	4	16	2019	4/16/2019	2
Wells002-2_S2	S	unknown	4	16	2019	4/16/2019	2
Wells003-3_S3	S	unknown	4	23	2019	4/23/2019	2
Wells004-4_S4	S2	unknown	4	23	2019	4/23/2019	2
Wells005-5_S5	S	unknown	4	30	2019	4/30/2019	2
Wells006-6_S6	S2	unknown	4	30	2019	4/30/2019	2
Wells007-7_S7	S	unknown	5	8	2019	5/8/2019	2
Wells008-8_S8	S2	unknown	5	8	2019	5/8/2019	2
Wells009-9_S9	S	unknown	5	14	2019	5/14/2019	2
Wells010-10_S10	S2	unknown	5	14	2019	5/14/2019	2
Wells011-11_S11	S	unknown	5	21	2019	5/21/2019	2
Wells012-12_S12	S2	unknown	5	21	2019	5/21/2019	2
Wells013-13_S13	S	unknown	5	29	2019	5/29/2019	2
Wells014-14_S14	S2	unknown	5	29	2019	5/29/2019	2
Wells015-15_S15	S	unknown	6	4	2019	6/4/2019	2
Wells016-16_S16	S2	unknown	6	4	2019	6/4/2019	2
Wells017-17_S17	S	unknown	6	11	2019	6/11/2019	2
Wells018-18_S18	S2	unknown	6	11	2019	6/11/2019	2
Wells019-19_S19	S	unknown	6	18	2019	6/18/2019	2
Wells020-20_S20	S2	unknown	6	18	2019	6/18/2019	2
Wells021-21_S21	S	unknown	7	2	2019	7/2/2019	2
Wells022-22_S22	S2	unknown	7	2	2019	7/2/2019	2
Wells023-23_S23	S	unknown	7	9	2019	7/9/2019	2
Wells024-24_S24	S2	unknown	7	9	2019	7/9/2019	2
Wells025-26_S25	S2	unknown	7	16	2019	7/16/2019	2
Wells026-27_S26	S	unknown	7	23	2019	7/23/2019	2
Wells027-28_S27	S2	unknown	7	23	2019	7/23/2019	2
